time,close,high,low,open,volumefrom,volumeto
1385510400,1206.93,1241.92,914.27,969.96,113962.47,125811659.44
1385769600,1096.56,1232.94,840.27,1206.93,132062.46,140745953.93
1386028800,1106.35,1239.86,869.99,1096.56,94081.59,103568446.38
1386288000,803.96,1118.93,576.03,1106.35,182390.33,144518643.11
1386547200,919.93,1067.7,787.73,803.96,74089.17,69339427.08
1386806400,908.94,989.89,839.51,919.93,38875.5,35504023.23
1387065600,714.97,927.9,678.88,908.94,88204.93,69135132.44
1387324800,649.96,774.39,454.86,714.97,191032.83,116800119.8
1387584000,713.24,724.92,610,649.96,41425.56,27454413.03
1387843200,801.98,829.63,665.98,713.24,39819.25,29578356.81
1388102400,784.96,836.83,715.6,801.98,34262.07,26650067.48
1388361600,815.94,829.93,770.97,784.96,30407.07,24369647.48
1388620800,924.69,932.16,810.47,815.94,36759.65,32021163.95
1388880000,879.9,1093.44,879.85,924.69,67115.83,66165523.76
1389139200,957.76,966.9,858.9,879.9,34861.18,32053982.23
1389398400,922.91,1022.67,879.94,957.76,31245.12,29789157.22
1389657600,913.49,973.09,904.19,922.91,16243.51,15128703.97
1389916800,954.8,958.07,867.22,913.49,23924.38,21768499.29
1390176000,950.95,980.54,925.96,954.8,21774.88,20773733.5
1390435200,961.05,978.41,902.89,950.95,16351.83,15320770.85
1390694400,932.68,1038.06,911.65,961.05,31807.14,30864934.93
1390953600,938.85,954.71,909.46,932.68,15413.47,14306090.02
1391212800,931.71,969.19,927.8,938.85,8737.9,8215977.4
1391472000,828.87,949.1,800.93,931.71,30766.33,26836696.99
1391731200,659.57,833.07,622.53,828.87,92667.95,65102254.74
1391990400,531.13,700.04,500.04,659.57,78157.36,45584499.49
1392249600,371.07,549.2,302.18,531.13,145379.1,57777763.21
1392508800,293.95,540.03,220.37,371.07,186497.95,56929975.84
1392768000,111.56,308.63,91.66,293.95,216276.22,35342570.15
1393027200,174,349.15,96.72,111.56,205838.63,40926216.75
1393286400,596.49,650,102.33,174,31526.52,4699482.4
1393545600,544.56,599,262.77,596.49,1737,1041000.12
1393804800,658.3,695.44,545.42,544.56,3888.52,2598093.12
1394064000,609.21,661.83,588.58,658.3,6569.91,4201674.28
1394323200,608.69,637.6,594.7,609.21,7010.57,4379706.35
1394582400,614.03,640.79,608.2,608.69,10606.63,6705020.71
1394841600,606.38,628.83,602.74,614.03,10333.94,6451246.64
1395100800,565.99,611.72,560.35,606.38,11474.6,6870530.4
1395360000,551.16,587.42,537.16,565.99,11722.57,6538360.48
1395619200,562.45,575.42,531.27,551.16,11239.57,6284204.63
1395878400,477.11,567.75,453.75,562.45,12181.33,6120940.77
1396137600,463.45,487.35,422.49,477.11,11979.44,5466199.59
1396396800,444.36,480.27,386.67,463.45,10970.34,4840004.9
